EventId,DER_mass_MMC,DER_mass_transverse_met_lep,DER_mass_vis,DER_pt_h,DER_deltaeta_jet_jet,DER_mass_jet_jet,DER_prodeta_jet_jet,DER_deltar_tau_lep,DER_pt_tot,DER_sum_pt,DER_pt_ratio_lep_tau,DER_met_phi_centrality,DER_lep_eta_centrality,PRI_tau_pt,PRI_tau_eta,PRI_tau_phi,PRI_lep_pt,PRI_lep_eta,PRI_lep_phi,PRI_met,PRI_met_phi,PRI_met_sumet,PRI_jet_num,PRI_jet_leading_pt,PRI_jet_leading_eta,PRI_jet_leading_phi,PRI_jet_subleading_pt,PRI_jet_subleading_eta,PRI_jet_subleading_phi,PRI_jet_all_pt,Weight,Label
105000,132.255,55.549,94.455,1.594,-999,-999,-999,3.456,1.594,61.51,1.778,-1.375,-999,22.141,1.165,2.535,39.369,-0.948,-0.198,20.916,-2.832,65.769,0,-999,-999,-999,-999,-999,-999,0,6.166979748,b
105001,90.576,42.042,67.105,40.432,3.185,333.567,-2.152,2.137,5.546,205.63,0.934,-0.383,0.446,36.736,-1.165,2.52,34.326,-2.05,-1.817,13.425,1.733,265.365,2,84.426,0.973,0.127,50.142,-2.212,-2.828,134.568,0.071357137,b
105002,101.235,67.517,68.052,23.26,-999,-999,-999,3.129,23.26,75.009,2.644,1.414,-999,20.582,-1.252,1.838,54.427,-0.891,-1.337,24.059,2.542,106.964,0,-999,-999,-999,-999,-999,-999,0,5.005025671,b
105003,138.001,46.721,95.587,48.567,-999,-999,-999,2.943,2.436,150.65,0.546,1.404,-999,64.62,-0.937,0.643,35.261,-1.165,-2.291,18.405,0.03,166.72,1,50.769,-1.336,-2.896,-999,-999,-999,50.769,0.001502705,s
105004,96.421,50.592,65.319,0.24,-999,-999,-999,2.904,0.24,67.295,1.55,-1.383,-999,26.39,0.073,-0.748,40.904,0.16,2.155,16.251,-1.376,83.194,0,-999,-999,-999,-999,-999,-999,0,4.539322978,b
105005,-999,69.497,99.754,37.687,-999,-999,-999,2.792,1.396,138.205,0.73,-1.413,-999,57.531,-0.768,1.168,42.023,-1.283,-2.372,58.693,-0.822,115.356,1,38.65,0.893,2.577,-999,-999,-999,38.65,0.002653311,s
105006,128.661,10.634,90.288,138.008,0.536,84.77,-0.003,1.65,4.918,248.386,0.862,0.255,0.872,52.779,1.285,-1.3,45.502,-0.362,-1.415,41.257,-1.661,309.371,2,88.22,0.005,2.104,61.884,-0.53,1.145,150.104,0.002653311,s
105007,126.045,3.094,85.721,23.051,-999,-999,-999,3.243,23.051,76.915,0.567,1.334,-999,49.087,-1.778,-1.505,27.828,-0.66,1.735,42.569,1.825,131.992,0,-999,-999,-999,-999,-999,-999,0,0.018636117,s
105008,213.447,152.113,97.572,69.381,2.325,252.534,-0.24,2.826,60.358,321.065,4.12,1.384,0.96,23.846,-1.244,-2.121,98.234,-0.819,1.369,71.55,-2.641,437.111,3,76.529,-2.217,-0.774,65.959,0.108,2.503,198.984,0.744056247,b
105009,96.346,14.479,74.813,32.043,-999,-999,-999,2.27,32.043,82.564,0.821,-0.831,-999,45.341,-1.1,1.711,37.223,-0.895,-0.549,9.968,-1.32,182.636,0,-999,-999,-999,-999,-999,-999,0,1.681611443,b
105010,140.065,4.324,92.221,72.672,-999,-999,-999,2.144,16.622,188.944,0.371,0.802,-999,82.405,-1.692,-1.449,30.55,-2.377,0.582,26.638,0.734,216.932,1,75.988,-0.616,2.216,-999,-999,-999,75.988,1.681611443,b
105011,91.393,58.684,36.372,174.595,3.511,417.956,-3.065,1.075,31.564,294.789,1.362,1.213,0.409,30.364,-1.397,-0.048,41.349,-1.53,1.019,116.325,0.146,307.156,3,156.543,-1.625,-3.041,35.299,1.885,-2.791,223.076,0.064060777,b
105012,124.585,12.858,95.799,167.39,4.233,635.705,-3.557,1.44,4.786,333.028,0.206,0.291,0.969,139.19,-0.053,-2.619,28.726,-1.334,3.006,12.597,2.316,399.867,2,110.768,1.156,0.258,54.344,-3.078,0.565,165.112,0.001502705,s
105013,142.86,70.988,92.738,4.648,-999,-999,-999,3.128,4.648,94.36,1.466,-1.292,-999,38.269,0.645,-1.745,56.091,0.568,1.382,22.461,-1.769,143.456,0,-999,-999,-999,-999,-999,-999,0,4.493644254,b
105014,-999,101.293,87.359,41.675,-999,-999,-999,2.059,1.418,125.389,3.02,-1.225,-999,21.137,-0.01,0.262,63.834,1.955,0.878,40.344,-2.39,143.583,1,40.418,-2.67,-2.419,-999,-999,-999,40.418,2.937209534,b
105015,111.302,29.869,73.327,97.321,-999,-999,-999,2.232,9.416,187.434,2.182,1.359,-999,25.819,0.204,-1.003,56.34,-0.629,-3.073,47.987,-2.49,245.376,1,105.275,3.202,0.647,-999,-999,-999,105.275,0.001502705,s
105016,-999,80.388,132.936,25.923,-999,-999,-999,3.282,4.462,85.444,1.635,-0.138,-999,20.943,-1.577,-0.316,34.233,1.703,-0.214,50.624,2.401,99.067,1,30.269,0.729,-2.2,-999,-999,-999,30.269,3.093794876,b
105017,-999,106.037,51.02,36.648,-999,-999,-999,1.148,7.483,126.799,0.861,-1.09,-999,49.302,0.685,-0.012,42.437,1.243,0.99,66.334,-2.227,156.543,1,35.061,0.28,2.434,-999,-999,-999,35.061,0.905015294,b
105018,63.489,33.063,45.718,16.399,-999,-999,-999,2.142,23.296,85.103,1.129,-1.32,-999,23.927,-1.351,-0.767,27.009,-0.854,-2.851,21.36,1.914,180.749,1,34.166,-0.173,0.909,-999,-999,-999,34.166,1.454848473,b
105019,97.996,37.857,58.958,60.808,2.588,457.991,-1.645,2.4,20.619,301.907,0.856,1.409,0.342,32.028,2.32,0.796,27.413,1.515,-1.465,35.133,-0.153,418.473,2,154.043,-1.12,3.009,88.423,1.468,0.106,242.466,0.071357137,b
105020,569.655,60.987,393.039,101.083,1.17,58.164,4.739,4.435,23.933,182.348,0.955,1.01,0,50.653,-1.788,-1.307,48.385,2.355,-2.889,38.412,-1.318,219.566,2,45.958,-1.669,1.247,37.353,-2.839,1.747,83.31,2.725470946,b
105021,-999,64.673,40.477,2.367,-999,-999,-999,1.544,2.367,58.03,0.931,-1.414,-999,30.049,1.883,2.849,27.981,1.899,1.305,43.762,-1.052,59.793,0,-999,-999,-999,-999,-999,-999,0,4.143984399,b
105022,86.862,70.027,69.07,35.801,-999,-999,-999,2.042,0.78,111.294,1.292,-0.863,-999,32.938,1.034,1.295,42.551,1.95,-0.53,28.916,2.491,168.254,1,35.805,1.199,-2.279,-999,-999,-999,35.805,2.153696371,b
105023,-999,146.047,37.555,91.68,-999,-999,-999,0.706,8.407,230.401,4.153,-0.132,-999,25.588,2.424,2.433,106.266,1.731,2.295,54.412,-1.412,200.481,1,98.548,1.745,-0.533,-999,-999,-999,98.548,2.463007173,b
105024,-999,74.093,41.722,25.545,-999,-999,-999,1.845,25.545,53.002,1.389,-1.104,-999,22.182,0.6,-0.12,30.82,0.515,-1.962,44.666,1.289,62.942,0,-999,-999,-999,-999,-999,-999,0,2.008263833,b
